Title,Original Price,Promotional Price,Psplus Price,Max_price,Min_price,Min_price_plus,url_games
Warface: Breakout,"R$ 104,90","R$ 20,98","R$ 20,98","R$ 104,90","R$ 20,98","R$ 20,98",/ps4-store-br/warface-breakout-game-56308/
Die Young,"R$ 97,50","R$ 73,12","R$ 68,24","R$ 97,50","R$ 73,12","R$ 68,24",/ps4-store-br/die-young-game-70667/
The Walking Dead Onslaught,"R$ 149,50","R$ 89,70","R$ 89,70","R$ 149,50","R$ 89,70","R$ 89,70",/ps4-store-br/the-walking-dead-onslaught-game-61508/
Project CARS 3,"R$ 249,90","R$ 99,96","R$ 99,96","R$ 249,90","R$ 99,96","R$ 99,96",/ps4-store-br/project-cars-3-game-59391/
Commandos 2 and Praetorians: HD Remaster Double Pack,"R$ 214,90","R$ 107,45","R$ 107,45","R$ 214,90","R$ 107,45","R$ 107,45",/ps4-store-br/commandos-2-and-praetorians-hd-remaster-double-pack-game-62126/
Assetto Corsa Competizione,"R$ 199,50","R$ 139,65","R$ 139,65","R$ 199,50","R$ 99,75","R$ 99,75",/ps4-store-br/assetto-corsa-competizione-game-57912/
RESIDENT EVIL 3,"R$ 249,90","R$ 82,46","R$ 82,46","R$ 249,90","R$ 82,46","R$ 82,46",/ps4-store-br/resident-evil-3-game-37941/
Totally Reliable Delivery Service,"R$ 62,50","R$ 28,12","R$ 28,12","R$ 62,50","R$ 28,12","R$ 28,12",/ps4-store-br/totally-reliable-delivery-service-game-37946/
Totally Reliable Delivery Service Deluxe Edition,"R$ 99,50","R$ 44,77","R$ 39,79","R$ 99,50","R$ 44,77","R$ 39,79",/ps4-store-br/totally-reliable-delivery-service-deluxe-edition-game-37947/
The Pillar: Puzzle Escape,"R$ 53,90","R$ 37,73","R$ 37,73","R$ 53,90","R$ 37,73","R$ 37,73",/ps4-store-br/the-pillar-puzzle-escape-game-68182/
Moons of Madness,"R$ 159,90","R$ 79,95","R$ 79,95","R$ 159,90","R$ 74,94","R$ 74,94",/ps4-store-br/moons-of-madness-game-37988/
Persona®5 Royal Deluxe Edition,"R$ 291,50","R$ 131,17","R$ 131,17","R$ 291,50","R$ 131,17","R$ 131,17",/ps4-store-br/persona-5-royal-deluxe-edition-game-37958/
eFootball PES 2021 SEASON UPDATE STANDARD EDITION,"R$ 179,90","R$ 59,36","R$ 59,36","R$ 179,90","R$ 59,36","R$ 59,36",/ps4-store-br/efootball-pes-2021-season-update-standard-edition-game-60320/
Through the Darkest of Times,"R$ 62,50","R$ 37,50","R$ 31,25","R$ 62,50","R$ 37,50","R$ 31,25",/ps4-store-br/through-the-darkest-of-times-game-59883/
Demon’s Tier+,"R$ 53,90","R$ 37,73","R$ 35,03","R$ 53,90","R$ 33,20","R$ 33,20",/ps4-store-br/demons-tier-game-56776/
ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe,"R$ 373,90","R$ 186,95","R$ 186,95","R$ 373,90","R$ 186,95","R$ 186,95",/ps4-store-br/one-piece-pirate-warriors-4-edicao-deluxe-game-37971/
Predator: Hunting Grounds Digital Deluxe Edition,"R$ 249,90","R$ 149,70","R$ 149,70","R$ 249,90","R$ 149,70","R$ 149,70",/ps4-store-br/predator-hunting-grounds-digital-deluxe-edition-game-37915/
FAIRY TAIL Digital Deluxe,"R$ 299,90","R$ 209,93","R$ 209,93","R$ 299,90","R$ 209,93","R$ 209,93",/ps4-store-br/fairy-tail-digital-deluxe-game-59978/
JankBrain,"R$ 26,90","R$ 20,17","R$ 16,13","R$ 26,90","R$ 20,17","R$ 16,13",/ps4-store-br/jankbrain-game-68339/
Ghost of Tsushima Digital Deluxe Edition,"R$ 349,90","R$ 248,42","R$ 248,42","R$ 349,90","R$ 248,42","R$ 248,42",/ps4-store-br/ghost-of-tsushima-digital-deluxe-edition-game-37913/
Ary and the Secret of Seasons,"R$ 199,50","R$ 99,75","R$ 99,75","R$ 199,50","R$ 99,75","R$ 99,75",/ps4-store-br/ary-and-the-secret-of-seasons-game-61011/
Biped,"R$ 94,90","R$ 55,99","R$ 51,24","R$ 94,90","R$ 48,68","R$ 48,68",/ps4-store-br/biped-game-37925/
Don’t Starve Mega Pack 2020,"R$ 172,90","R$ 86,45","R$ 86,45","R$ 172,90","R$ 86,45","R$ 86,45",/ps4-store-br/dont-starve-mega-pack-2020-game-68371/
OhShape,"R$ 104,90","R$ 83,92","R$ 73,43","R$ 104,90","R$ 83,92","R$ 52,45",/ps4-store-br/ohshape-game-62420/
World War Z - GOTY Edition,"R$ 207,90","R$ 83,16","R$ 83,16","R$ 207,90","R$ 83,16","R$ 70,68",/ps4-store-br/world-war-z-goty-edition-game-55650/
DOOM Eternal Edição Padrão,"R$ 248,99","R$ 99,59","R$ 99,59","R$ 248,99","R$ 82,16","R$ 82,16",/ps4-store-br/doom-eternal-edicao-padrao-game-38000/
Book of Demons,"R$ 133,90","R$ 53,56","R$ 46,86","R$ 133,90","R$ 51,95","R$ 46,86",/ps4-store-br/book-of-demons-game-55523/
Disintegration,"R$ 207,90","R$ 79,95","R$ 79,95","R$ 207,90","R$ 79,95","R$ 79,95",/ps4-store-br/disintegration-game-57005/
Arizona Sunshine® - Deluxe Edition,"R$ 239,90","R$ 79,16","R$ 79,16","R$ 239,90","R$ 47,98","R$ 47,98",/ps4-store-br/arizona-sunshine-deluxe-edition-game-56658/
Konrad’s Kittens - Pacote de temas para gatos,"R$ 79,90","R$ 47,94","R$ 47,94","R$ 79,90","R$ 37,50","R$ 37,50",/ps4-store-br/konrads-kittens-pacote-de-temas-para-gatos-game-55505/
G.I. Joe: Operation Blackout,"R$ 199,50","R$ 69,82","R$ 69,82","R$ 199,50","R$ 69,82","R$ 69,82",/ps4-store-br/gi-joe-operation-blackout-game-63425/
G.I. Joe: Operation Blackout,"R$ 264,90","R$ 69,82","R$ 69,82","R$ 264,90","R$ 92,71","R$ 92,71",/ps4-store-br/gi-joe-operation-blackout-game-63425/
G.I. Joe: Operation Blackout,"R$ 199,50","R$ 92,71","R$ 92,71","R$ 199,50","R$ 69,82","R$ 69,82",/ps4-store-br/gi-joe-operation-blackout-game-63426/
G.I. Joe: Operation Blackout,"R$ 264,90","R$ 92,71","R$ 92,71","R$ 264,90","R$ 92,71","R$ 92,71",/ps4-store-br/gi-joe-operation-blackout-game-63426/
Eastasiasoft Indie Shmup Bundle,"R$ 48,50","R$ 24,25","R$ 24,25","R$ 48,50","R$ 24,25","R$ 24,25",/ps4-store-br/eastasiasoft-indie-shmup-bundle-game-60599/
Bloodstained: Curse of the Moon 2,"R$ 79,90","R$ 47,94","R$ 47,94","R$ 79,90","R$ 47,94","R$ 47,94",/ps4-store-br/bloodstained-curse-of-the-moon-2-game-58131/
SWORD ART ONLINE Alicization Lycoris,"R$ 249,90","R$ 124,95","R$ 124,95","R$ 249,90","R$ 124,95","R$ 124,95",/ps4-store-br/sword-art-online-alicization-lycoris-game-60007/
Predator: Hunting Grounds,"R$ 199,50","R$ 74,75","R$ 74,75","R$ 199,50","R$ 74,75","R$ 74,74",/ps4-store-br/predator-hunting-grounds-game-37914/
LA-MULANA,"R$ 62,50","R$ 37,50","R$ 37,50","R$ 62,50","R$ 37,50","R$ 37,50",/ps4-store-br/la-mulana-game-38007/
LA-MULANA 2,"R$ 103,90","R$ 62,34","R$ 62,34","R$ 103,90","R$ 62,34","R$ 62,34",/ps4-store-br/la-mulana-2-game-38008/
Fallout 76: Aurora de Aço – Edição Deluxe,"R$ 299,90","R$ 179,94","R$ 179,94","R$ 299,90","R$ 119,96","R$ 119,96",/ps4-store-br/fallout-76-aurora-de-aco-edicao-deluxe-game-66561/
MY HERO ONE’S JUSTICE 2,"R$ 249,90","R$ 99,96","R$ 99,96","R$ 249,90","R$ 99,96","R$ 99,96",/ps4-store-br/my-hero-ones-justice-2-game-38022/
MY HERO ONE’S JUSTICE 2 Edição Deluxe,"R$ 332,90","R$ 133,16","R$ 133,16","R$ 332,90","R$ 133,16","R$ 133,16",/ps4-store-br/my-hero-ones-justice-2-edicao-deluxe-game-38023/
The Crew® 2 Deluxe Edition,"R$ 274,50","R$ 57,47","R$ 57,47","R$ 274,50","R$ 57,47","R$ 57,47",/ps4-store-br/the-crew-2-deluxe-edition-game-38035/
Monster Viator,"R$ 62,50","R$ 43,75","R$ 37,50","R$ 62,50","R$ 37,50","R$ 37,50",/ps4-store-br/monster-viator-game-38040/
The Division 2 - Warlords of New York - Ultimate Edition,"R$ 279,90","R$ 83,97","R$ 83,97","R$ 279,90","R$ 83,97","R$ 83,96",/ps4-store-br/the-division-2-warlords-of-new-york-ultimate-edition-game-38065/
ONE PUNCH MAN: A HERO NOBODY KNOWS,"R$ 299,90","R$ 74,97","R$ 74,97","R$ 299,90","R$ 74,97","R$ 74,97",/ps4-store-br/one-punch-man-a-hero-nobody-knows-game-38069/
Street Fighter V: Champion Edition,"R$ 124,90","R$ 83,68","R$ 83,68","R$ 124,90","R$ 81,18","R$ 81,18",/ps4-store-br/street-fighter-v-champion-edition-game-38074/
Townsmen - A Kingdom Rebuilt,"R$ 159,90","R$ 95,94","R$ 79,95","R$ 159,90","R$ 95,94","R$ 79,95",/ps4-store-br/townsmen-a-kingdom-rebuilt-game-38093/
Darksiders Genesis,"R$ 164,90","R$ 82,45","R$ 82,45","R$ 164,90","R$ 65,96","R$ 57,71",/ps4-store-br/darksiders-genesis-game-38106/
Dreams,"R$ 164,90","R$ 64,67","R$ 64,67","R$ 164,90","R$ 64,67","R$ 49,74",/ps4-store-br/dreams-game-38107/
Monster Energy Supercross - The Official Videogame 3,"R$ 274,50","R$ 82,35","R$ 68,62","R$ 274,50","R$ 82,35","R$ 68,62",/ps4-store-br/monster-energy-supercross-the-official-videogame-3-game-38140/
Monster Energy Supercross 3 - Special Edition,"R$ 366,90","R$ 110,07","R$ 91,72","R$ 366,90","R$ 110,07","R$ 91,72",/ps4-store-br/monster-energy-supercross-3-special-edition-game-38150/
Arc of Alchemist,"R$ 164,90","R$ 49,47","R$ 49,47","R$ 164,90","R$ 29,68","R$ 29,68",/ps4-store-br/arc-of-alchemist-game-38155/
DRAGON BALL Z: KAKAROT,"R$ 249,90","R$ 99,96","R$ 99,96","R$ 249,90","R$ 99,96","R$ 99,96",/ps4-store-br/dragon-ball-z-kakarot-game-38199/
DRAGON BALL Z: KAKAROT - Edição Definitiva,"R$ 389,90","R$ 194,95","R$ 194,95","R$ 389,90","R$ 194,95","R$ 194,95",/ps4-store-br/dragon-ball-z-kakarot-edicao-definitiva-game-38200/
The Surge 2 - Premium Edition,"R$ 312,50","R$ 62,47","R$ 62,47","R$ 312,50","R$ 62,47","R$ 62,47",/ps4-store-br/the-surge-2-premium-edition-game-38203/
Without Escape,"R$ 26,90","R$ 13,45","R$ 13,45","R$ 26,90","R$ 9,95","R$ 9,95",/ps4-store-br/without-escape-game-38222/
Tokyo Dark – Remembrance –,"R$ 104,90","R$ 52,45","R$ 52,45","R$ 104,90","R$ 41,75","R$ 41,75",/ps4-store-br/tokyo-dark-remembrance-game-38229/
Pacote Triplo Crash™ + Spyro™,"R$ 491,90","R$ 245,95","R$ 245,95","R$ 491,90","R$ 245,34","R$ 245,34",/ps4-store-br/pacote-triplo-crash-spyro-game-38244/
Let’s Sing Country - Platinum Edition,"R$ 389,50","R$ 253,17","R$ 253,17","R$ 389,50","R$ 207,29","R$ 207,29",/ps4-store-br/lets-sing-country-platinum-edition-game-38282/
Gunlord X,"R$ 53,90","R$ 21,56","R$ 21,56","R$ 53,90","R$ 21,56","R$ 21,56",/ps4-store-br/gunlord-x-game-38292/
Ancestors: The Humankind Odyssey,"R$ 214,90","R$ 85,96","R$ 85,96","R$ 214,90","R$ 82,45","R$ 82,45",/ps4-store-br/ancestors-the-humankind-odyssey-game-38302/
Ski Jumping Pro VR,"R$ 83,50","R$ 41,75","R$ 41,75","R$ 83,50","R$ 33,40","R$ 33,40",/ps4-store-br/ski-jumping-pro-vr-game-38306/
STAR WARS™ Battlefront™ II: Celebration Edition,"R$ 158,99","R$ 47,69","R$ 47,69","R$ 158,99","R$ 47,69","R$ 47,69",/ps4-store-br/star-wars-battlefront-ii-celebration-edition-game-38315/
Pacote de Jogos - Crash™ Team Racing Nitro-Fueled + Spyro™,"R$ 359,50","R$ 143,80","R$ 143,80","R$ 359,50","R$ 143,80","R$ 143,80",/ps4-store-br/pacote-de-jogos-crash-team-racing-nitro-fueled-spyro-game-38358/
DEEMO -Reborn-,"R$ 214,90","R$ 128,94","R$ 128,94","R$ 214,90","R$ 128,94","R$ 128,94",/ps4-store-br/deemo-reborn-game-38365/
Espire 1: VR Operative,"R$ 159,90","R$ 63,96","R$ 63,96","R$ 159,90","R$ 49,96","R$ 49,96",/ps4-store-br/espire-1-vr-operative-game-38369/
Shenmue III - Digital Deluxe Edition,"R$ 299,99","R$ 59,99","R$ 59,99","R$ 299,99","R$ 59,99","R$ 59,99",/ps4-store-br/shenmue-iii-digital-deluxe-edition-game-38372/
STAR WARS Jedi: Fallen Order™ Edição Deluxe,"R$ 278,99","R$ 100,43","R$ 100,43","R$ 278,99","R$ 100,43","R$ 100,43",/ps4-store-br/star-wars-jedi-fallen-order-edicao-deluxe-game-38381/
Atelier Ryza: Digital Deluxe Edition,"R$ 298,90","R$ 149,45","R$ 149,45","R$ 298,90","R$ 149,45","R$ 149,45",/ps4-store-br/atelier-ryza-digital-deluxe-edition-game-38388/
Atelier Ryza: Ever Darkness and the Secret Hideout,"R$ 249,90","R$ 124,95","R$ 124,95","R$ 249,90","R$ 124,95","R$ 124,95",/ps4-store-br/atelier-ryza-ever-darkness-and-the-secret-hideout-game-38389/
VR Ping Pong Pro,"R$ 124,50","R$ 49,80","R$ 49,80","R$ 124,50","R$ 36,36","R$ 36,36",/ps4-store-br/vr-ping-pong-pro-game-38399/
Need for Speed™ Heat,"R$ 238,99","R$ 71,69","R$ 71,69","R$ 238,99","R$ 71,69","R$ 71,69",/ps4-store-br/need-for-speed-heat-game-38406/
MechaNika,"R$ 31,90","R$ 19,14","R$ 15,95","R$ 31,90","R$ 19,14","R$ 15,95",/ps4-store-br/mechanika-game-38413/
The Outer Worlds,"R$ 299,90","R$ 119,96","R$ 119,96","R$ 299,90","R$ 119,96","R$ 119,96",/ps4-store-br/the-outer-worlds-game-38461/
Call of Duty®: Modern Warfare®,"R$ 274,50","R$ 178,42","R$ 178,42","R$ 274,50","R$ 149,43","R$ 149,43",/ps4-store-br/call-of-duty-modern-warfare-game-38462/
Farming Simulator 19 - Platinum Edition,"R$ 214,90","R$ 128,94","R$ 128,94","R$ 214,90","R$ 124,74","R$ 103,94",/ps4-store-br/farming-simulator-19-platinum-edition-game-38471/
Street Outlaws: The List,"R$ 199,50","R$ 49,87","R$ 49,87","R$ 199,50","R$ 49,87","R$ 49,87",/ps4-store-br/street-outlaws-the-list-game-38477/
Plants vs. Zombies™: Batalha por Neighborville Edição Deluxe,"R$ 249,50","R$ 49,90","R$ 49,90","R$ 249,50","R$ 49,74","R$ 49,74",/ps4-store-br/plants-vs-zombies-batalha-por-neighborville-edicao-deluxe-game-38489/
Worms Battlegrounds + Worms W.M.D,"R$ 144,90","R$ 36,22","R$ 36,22","R$ 144,90","R$ 36,22","R$ 36,22",/ps4-store-br/worms-battlegrounds-worms-wmd-game-38503/
