,name,game_names
0,world war z,Z End: World War
1,konrad’s kittens - pacote de temas para gatos,Bernie's Mittens 'n' Kittens
2,eastasiasoft indie shmup bundle,Team Indie
6,pacote triplo crash + spyro,Spyro the Dragon
7,atelier ryza,Atelier Ryza: Ever Darkness & the Secret Hideout
8,plants vs. zombies : batalha por neighborville,Plants vs. Zombies: Battle for Neighborville
10,rainbow skies + rainbow moon mega rpg bundle,Rainbow Moon
11,f1 2019 legends edition senna and prost,F1 2019
12,konrad’s kittens bundle,Konrad the Kitten - a virtual but real cat
13,coleção lego marvel,LEGO Marvel's Avengers - Classic Captain Marvel Pack
14,quase lá: o jogo de plataforma,Furtivo - O Jogo
15,the sims 4 + gatos e cães – bundle,The Sims 4
16,lego dc super-vilões,LEGO DC Super-Villains
17,doom + wolfenstein ii bundle,DOOM II
18,skyrim + fallout 4 g.o.t.y. bundle,Fallout 4
21,konrad’s kittens,Kicking Kittens: Putin Saves The World
23,pacote familiar ea,Familiar Unfamiliar
24,sublevel zero - redux,Sublevel Zero Redux
25,o pacote jackbox party 3,O-PACO
26,virginia – pacote de edição especial,Virginia
29,beb: super mega bundle,Super Mega Baseball: Extra Innings
30,atualização de rainbow moon para ps4,Rainbow Moon
32,the surge 1 and 2 - dual pack,The Surge 1 & 2 - Dual Pack
34,f1 2020 - deluxe schumacher edition,F1 2020
35,rock of ages 3: make and break,Rock of Ages 3: Make & Break
36,efootball pes 2021 season update fc bayern münchen edition,eFootball PES 2021
37,efootball pes 2021 season update manchester united edition,eFootball PES 2021
38,black desert,Black Desert - Drieghan Companion Pack
39,black desert,Black Desert - Drieghan Companion Pack
40,black desert,Black Desert - Drieghan Companion Pack
41,velozes e furiosos encruzilhada,Gon' E-Choo!
42,motorbike racing bundle,Motorbike.
43,fishing sim world: bass,SEGA Bass Fishing
45,"pacote assassin’s creed : assassin’s creed valhalla, assassin’s creed odyssey e assassin’s creed origins",Assassin's Creed Valhalla
46,dirt rally plus playstation vr bundle,DiRT Rally
47,atelier mysterious trilogy deluxe pack,Atelier Dusk Trilogy Deluxe Pack
48,ride 4 - ps4 and ps5,RIDE 4 PS4 and PS5
51,knightin’+,Knightin'+
52,chubby pixel mega bundle,Mega Man (1987)
53,steins;gate: my darling’s embrace,STEINS;GATE
55,edna and harvey: harvey’s new eyes,Edna & Harvey: Harvey's New Eyes
56,doom (1993),Kirby's Adventure (1993)
57,bird game +,Bird Game...
58,space hulk bundle,Space Hulk: Deathwing - Enhanced Edition
59,world war z,Z End: World War
60,fishing sim world: pro tour + quad lake pass,Fishing Sim World + Quad Lake Pass
63,terra-média : sombras da guerra,Harmonikharath - Terras da Dissonância Sombria
64,lego os incríveis,LEGO The Incredibles
65,warhammer vermintide - the,Warhammer: Vermintide 2
66,bleed complete bundle,Bleed
67,infinite minigolf,Infinite Mini Golf
68,pacote hasbro diversão para a família – edição super,Super Hexagon
69,conjunto smite pacote supremo de deuses,SMITE
70,homefront : the revolution ’freedom fighter’ bundle,Homefront
71,bundle far cry 4 + far cry primal,Far Cry
75,conjunto de jogos lego,Jogo de Damas - Os Clássicos jogos de tabuleiro
76,white day,White Day: A Labyrinth Named School
77,jupiter and mars,Jupiter & Mars
78,ww1 game series bundle,Game of Thrones - A Telltale Games Series
79,robotics;notes dash,Robotics!
80,robotics;notes double pack,Robotics!
81,robotics;notes elite,Robotics!
82,crosskrush ps4 and ps5,Sackboy: A Big Adventure PS4 and PS5
83,pacote triplo da ea star wars,Star Wars: Empire at War
84,the outer worlds: pacote aprovado pela diretoria,The Outer Worlds
85,pacote 2k ball n’ brawl,BRAWL
