Title,Original Price,Promotional Price,Psplus Price,url_games
Warface: Breakout,"R$ 104,90","R$ 20,98","R$ 20,98",/ps4-store-br/warface-breakout-game-56308/
Die Young,"R$ 104,90","R$ 73,12","R$ 68,24",/ps4-store-br/die-young-game-70667/
The Walking Dead Onslaught,"R$ 104,90","R$ 89,70","R$ 89,70",/ps4-store-br/the-walking-dead-onslaught-game-61508/
Project CARS 3,"R$ 104,90","R$ 99,96","R$ 99,96",/ps4-store-br/project-cars-3-game-59391/
Commandos 2 and Praetorians: HD Remaster Double Pack,"R$ 104,90","R$ 107,45","R$ 107,45",/ps4-store-br/commandos-2-and-praetorians-hd-remaster-double-pack-game-62126/
Assetto Corsa Competizione,"R$ 104,90","R$ 139,65","R$ 139,65",/ps4-store-br/assetto-corsa-competizione-game-57912/
RESIDENT EVIL 3,"R$ 104,90","R$ 82,46","R$ 82,46",/ps4-store-br/resident-evil-3-game-37941/
Totally Reliable Delivery Service,"R$ 104,90","R$ 28,12","R$ 28,12",/ps4-store-br/totally-reliable-delivery-service-game-37946/
Totally Reliable Delivery Service Deluxe Edition,"R$ 104,90","R$ 44,77","R$ 39,79",/ps4-store-br/totally-reliable-delivery-service-deluxe-edition-game-37947/
The Pillar: Puzzle Escape,"R$ 104,90","R$ 37,73","R$ 37,73",/ps4-store-br/the-pillar-puzzle-escape-game-68182/
Moons of Madness,"R$ 104,90","R$ 79,95","R$ 79,95",/ps4-store-br/moons-of-madness-game-37988/
Persona®5 Royal Deluxe Edition,"R$ 104,90","R$ 131,17","R$ 131,17",/ps4-store-br/persona-5-royal-deluxe-edition-game-37958/
eFootball PES 2021 SEASON UPDATE STANDARD EDITION,"R$ 104,90","R$ 59,36","R$ 59,36",/ps4-store-br/efootball-pes-2021-season-update-standard-edition-game-60320/
Through the Darkest of Times,"R$ 104,90","R$ 37,50","R$ 31,25",/ps4-store-br/through-the-darkest-of-times-game-59883/
Demon’s Tier+,"R$ 104,90","R$ 37,73","R$ 35,03",/ps4-store-br/demons-tier-game-56776/
ONE PIECE: PIRATE WARRIORS 4 Edição Deluxe,"R$ 104,90","R$ 186,95","R$ 186,95",/ps4-store-br/one-piece-pirate-warriors-4-edicao-deluxe-game-37971/
Predator: Hunting Grounds Digital Deluxe Edition,"R$ 104,90","R$ 149,70","R$ 149,70",/ps4-store-br/predator-hunting-grounds-digital-deluxe-edition-game-37915/
FAIRY TAIL Digital Deluxe,"R$ 104,90","R$ 209,93","R$ 209,93",/ps4-store-br/fairy-tail-digital-deluxe-game-59978/
JankBrain,"R$ 104,90","R$ 20,17","R$ 16,13",/ps4-store-br/jankbrain-game-68339/
Ghost of Tsushima Digital Deluxe Edition,"R$ 104,90","R$ 248,42","R$ 248,42",/ps4-store-br/ghost-of-tsushima-digital-deluxe-edition-game-37913/
Ary and the Secret of Seasons,"R$ 104,90","R$ 99,75","R$ 99,75",/ps4-store-br/ary-and-the-secret-of-seasons-game-61011/
Biped,"R$ 104,90","R$ 55,99","R$ 51,24",/ps4-store-br/biped-game-37925/
Don’t Starve Mega Pack 2020,"R$ 104,90","R$ 86,45","R$ 86,45",/ps4-store-br/dont-starve-mega-pack-2020-game-68371/
OhShape,"R$ 104,90","R$ 83,92","R$ 73,43",/ps4-store-br/ohshape-game-62420/
World War Z - GOTY Edition,"R$ 104,90","R$ 83,16","R$ 83,16",/ps4-store-br/world-war-z-goty-edition-game-55650/
DOOM Eternal Edição Padrão,"R$ 104,90","R$ 99,59","R$ 99,59",/ps4-store-br/doom-eternal-edicao-padrao-game-38000/
Book of Demons,"R$ 104,90","R$ 53,56","R$ 46,86",/ps4-store-br/book-of-demons-game-55523/
Disintegration,"R$ 104,90","R$ 79,95","R$ 79,95",/ps4-store-br/disintegration-game-57005/
Arizona Sunshine® - Deluxe Edition,"R$ 104,90","R$ 79,16","R$ 79,16",/ps4-store-br/arizona-sunshine-deluxe-edition-game-56658/
Konrad’s Kittens - Pacote de temas para gatos,"R$ 104,90","R$ 47,94","R$ 47,94",/ps4-store-br/konrads-kittens-pacote-de-temas-para-gatos-game-55505/
G.I. Joe: Operation Blackout,"R$ 104,90","R$ 69,82","R$ 69,82",/ps4-store-br/gi-joe-operation-blackout-game-63425/
Eastasiasoft Indie Shmup Bundle,"R$ 104,90","R$ 24,25","R$ 24,25",/ps4-store-br/eastasiasoft-indie-shmup-bundle-game-60599/
Bloodstained: Curse of the Moon 2,"R$ 104,90","R$ 47,94","R$ 47,94",/ps4-store-br/bloodstained-curse-of-the-moon-2-game-58131/
SWORD ART ONLINE Alicization Lycoris,"R$ 104,90","R$ 124,95","R$ 124,95",/ps4-store-br/sword-art-online-alicization-lycoris-game-60007/
Predator: Hunting Grounds,"R$ 104,90","R$ 74,75","R$ 74,75",/ps4-store-br/predator-hunting-grounds-game-37914/
LA-MULANA,"R$ 104,90","R$ 37,50","R$ 37,50",/ps4-store-br/la-mulana-game-38007/
LA-MULANA 2,"R$ 104,90","R$ 62,34","R$ 62,34",/ps4-store-br/la-mulana-2-game-38008/
Fallout 76: Aurora de Aço – Edição Deluxe,"R$ 104,90","R$ 179,94","R$ 179,94",/ps4-store-br/fallout-76-aurora-de-aco-edicao-deluxe-game-66561/
MY HERO ONE’S JUSTICE 2,"R$ 104,90","R$ 99,96","R$ 99,96",/ps4-store-br/my-hero-ones-justice-2-game-38022/
MY HERO ONE’S JUSTICE 2 Edição Deluxe,"R$ 104,90","R$ 133,16","R$ 133,16",/ps4-store-br/my-hero-ones-justice-2-edicao-deluxe-game-38023/
The Crew® 2 Deluxe Edition,"R$ 104,90","R$ 57,47","R$ 57,47",/ps4-store-br/the-crew-2-deluxe-edition-game-38035/
Monster Viator,"R$ 104,90","R$ 43,75","R$ 37,50",/ps4-store-br/monster-viator-game-38040/
The Division 2 - Warlords of New York - Ultimate Edition,"R$ 104,90","R$ 83,97","R$ 83,97",/ps4-store-br/the-division-2-warlords-of-new-york-ultimate-edition-game-38065/
ONE PUNCH MAN: A HERO NOBODY KNOWS,"R$ 104,90","R$ 74,97","R$ 74,97",/ps4-store-br/one-punch-man-a-hero-nobody-knows-game-38069/
Street Fighter V: Champion Edition,"R$ 104,90","R$ 83,68","R$ 83,68",/ps4-store-br/street-fighter-v-champion-edition-game-38074/
Townsmen - A Kingdom Rebuilt,"R$ 104,90","R$ 95,94","R$ 79,95",/ps4-store-br/townsmen-a-kingdom-rebuilt-game-38093/
Darksiders Genesis,"R$ 104,90","R$ 82,45","R$ 82,45",/ps4-store-br/darksiders-genesis-game-38106/
Dreams,"R$ 104,90","R$ 64,67","R$ 64,67",/ps4-store-br/dreams-game-38107/
Monster Energy Supercross - The Official Videogame 3,"R$ 104,90","R$ 82,35","R$ 68,62",/ps4-store-br/monster-energy-supercross-the-official-videogame-3-game-38140/
Monster Energy Supercross 3 - Special Edition,"R$ 104,90","R$ 110,07","R$ 91,72",/ps4-store-br/monster-energy-supercross-3-special-edition-game-38150/
Arc of Alchemist,"R$ 104,90","R$ 49,47","R$ 49,47",/ps4-store-br/arc-of-alchemist-game-38155/
DRAGON BALL Z: KAKAROT,"R$ 104,90","R$ 99,96","R$ 99,96",/ps4-store-br/dragon-ball-z-kakarot-game-38199/
DRAGON BALL Z: KAKAROT - Edição Definitiva,"R$ 104,90","R$ 194,95","R$ 194,95",/ps4-store-br/dragon-ball-z-kakarot-edicao-definitiva-game-38200/
The Surge 2 - Premium Edition,"R$ 104,90","R$ 62,47","R$ 62,47",/ps4-store-br/the-surge-2-premium-edition-game-38203/
Without Escape,"R$ 26,90","R$ 13,45","R$ 13,45",/ps4-store-br/without-escape-game-38222/
Tokyo Dark – Remembrance –,"R$ 26,90","R$ 52,45","R$ 52,45",/ps4-store-br/tokyo-dark-remembrance-game-38229/
Pacote Triplo Crash™ + Spyro™,"R$ 26,90","R$ 245,95","R$ 245,95",/ps4-store-br/pacote-triplo-crash-spyro-game-38244/
Let’s Sing Country - Platinum Edition,"R$ 26,90","R$ 253,17","R$ 253,17",/ps4-store-br/lets-sing-country-platinum-edition-game-38282/
Gunlord X,"R$ 26,90","R$ 21,56","R$ 21,56",/ps4-store-br/gunlord-x-game-38292/
Ancestors: The Humankind Odyssey,"R$ 26,90","R$ 85,96","R$ 85,96",/ps4-store-br/ancestors-the-humankind-odyssey-game-38302/
Ski Jumping Pro VR,"R$ 26,90","R$ 41,75","R$ 41,75",/ps4-store-br/ski-jumping-pro-vr-game-38306/
STAR WARS™ Battlefront™ II: Celebration Edition,"R$ 26,90","R$ 47,69","R$ 47,69",/ps4-store-br/star-wars-battlefront-ii-celebration-edition-game-38315/
Pacote de Jogos - Crash™ Team Racing Nitro-Fueled + Spyro™,"R$ 26,90","R$ 143,80","R$ 143,80",/ps4-store-br/pacote-de-jogos-crash-team-racing-nitro-fueled-spyro-game-38358/
DEEMO -Reborn-,"R$ 26,90","R$ 128,94","R$ 128,94",/ps4-store-br/deemo-reborn-game-38365/
Espire 1: VR Operative,"R$ 26,90","R$ 63,96","R$ 63,96",/ps4-store-br/espire-1-vr-operative-game-38369/
Shenmue III - Digital Deluxe Edition,"R$ 26,90","R$ 59,99","R$ 59,99",/ps4-store-br/shenmue-iii-digital-deluxe-edition-game-38372/
STAR WARS Jedi: Fallen Order™ Edição Deluxe,"R$ 26,90","R$ 100,43","R$ 100,43",/ps4-store-br/star-wars-jedi-fallen-order-edicao-deluxe-game-38381/
Atelier Ryza: Digital Deluxe Edition,"R$ 26,90","R$ 149,45","R$ 149,45",/ps4-store-br/atelier-ryza-digital-deluxe-edition-game-38388/
Atelier Ryza: Ever Darkness and the Secret Hideout,"R$ 26,90","R$ 124,95","R$ 124,95",/ps4-store-br/atelier-ryza-ever-darkness-and-the-secret-hideout-game-38389/
VR Ping Pong Pro,"R$ 26,90","R$ 49,80","R$ 49,80",/ps4-store-br/vr-ping-pong-pro-game-38399/
Need for Speed™ Heat,"R$ 26,90","R$ 71,69","R$ 71,69",/ps4-store-br/need-for-speed-heat-game-38406/
MechaNika,"R$ 26,90","R$ 19,14","R$ 15,95",/ps4-store-br/mechanika-game-38413/
The Outer Worlds,"R$ 26,90","R$ 119,96","R$ 119,96",/ps4-store-br/the-outer-worlds-game-38461/
Call of Duty®: Modern Warfare®,"R$ 26,90","R$ 178,42","R$ 178,42",/ps4-store-br/call-of-duty-modern-warfare-game-38462/
Farming Simulator 19 - Platinum Edition,"R$ 26,90","R$ 128,94","R$ 128,94",/ps4-store-br/farming-simulator-19-platinum-edition-game-38471/
Street Outlaws: The List,"R$ 26,90","R$ 49,87","R$ 49,87",/ps4-store-br/street-outlaws-the-list-game-38477/
Plants vs. Zombies™: Batalha por Neighborville Edição Deluxe,"R$ 26,90","R$ 49,90","R$ 49,90",/ps4-store-br/plants-vs-zombies-batalha-por-neighborville-edicao-deluxe-game-38489/
Worms Battlegrounds + Worms W.M.D,"R$ 26,90","R$ 36,22","R$ 36,22",/ps4-store-br/worms-battlegrounds-worms-wmd-game-38503/
Zombieland: Double Tap- Road Trip,"R$ 26,90","R$ 49,87","R$ 49,87",/ps4-store-br/zombieland-double-tap-road-trip-game-38512/
Contraptions,"R$ 26,90","R$ 16,17","R$ 13,47",/ps4-store-br/contraptions-game-38522/
Concrete Genie,"R$ 26,90","R$ 59,95","R$ 59,95",/ps4-store-br/concrete-genie-game-38526/
GRID Ultimate Edition,"R$ 26,90","R$ 56,12","R$ 56,12",/ps4-store-br/grid-ultimate-edition-game-38528/
Trine 4: The Nightmare Prince,"R$ 26,90","R$ 31,22","R$ 31,22",/ps4-store-br/trine-4-the-nightmare-prince-game-38536/
Tom Clancy’s Ghost Recon Breakpoint,"R$ 26,90","R$ 57,49","R$ 57,49",/ps4-store-br/tom-clancys-ghost-recon-breakpoint-game-38543/
Tom Clancy’s Ghost Recon Breakpoint Ultimate Edition,"R$ 26,90","R$ 114,99","R$ 114,99",/ps4-store-br/tom-clancys-ghost-recon-breakpoint-ultimate-edition-game-38545/
CODE VEIN,"R$ 26,90","R$ 74,97","R$ 74,97",/ps4-store-br/code-vein-game-38561/
Tropico 6 El Prez Edition,"R$ 26,90","R$ 121,45","R$ 121,45",/ps4-store-br/tropico-6-el-prez-edition-game-38565/
L.A. Noire: The VR Case Files,"R$ 26,90","R$ 79,95","R$ 79,95",/ps4-store-br/la-noire-the-vr-case-files-game-38573/
Mutazione,"R$ 26,90","R$ 78,67","R$ 70,27",/ps4-store-br/mutazione-game-38582/
Bus Simulator,"R$ 26,90","R$ 82,45","R$ 82,45",/ps4-store-br/bus-simulator-game-38593/
Agatha Knife,"R$ 26,90","R$ 38,70","R$ 32,25",/ps4-store-br/agatha-knife-game-38612/
Battlewake,"R$ 26,90","R$ 47,97","R$ 47,97",/ps4-store-br/battlewake-game-38615/
The Walking Dead: The Telltale Definitive Series,"R$ 26,90","R$ 149,70","R$ 149,70",/ps4-store-br/the-walking-dead-the-telltale-definitive-series-game-38624/
Catherine: Full Body,"R$ 26,90","R$ 99,75","R$ 99,75",/ps4-store-br/catherine-full-body-game-38642/
Catherine: Full Body Digital Deluxe Edition,"R$ 26,90","R$ 103,95","R$ 103,95",/ps4-store-br/catherine-full-body-digital-deluxe-edition-game-38643/
Torchlight II,"R$ 26,90","R$ 52,45","R$ 52,45",/ps4-store-br/torchlight-ii-game-38652/
DiRT Rally 2.0 - Game of the Year Edition,"R$ 26,90","R$ 62,47","R$ 62,47",/ps4-store-br/dirt-rally-20-game-of-the-year-edition-game-38666/
The Bard’s Tale IV: Director’s Cut,"R$ 26,90","R$ 41,22","R$ 32,97",/ps4-store-br/the-bards-tale-iv-directors-cut-game-38673/
F1® 2019,"R$ 26,90","R$ 62,37","R$ 62,37",/ps4-store-br/f1-2019-game-38688/
Train Sim World® 2020,"R$ 26,90","R$ 63,96","R$ 63,96",/ps4-store-br/train-sim-world-2020-game-38703/
Mutant Year Zero: Road to Eden - Deluxe Edition ,"R$ 26,90","R$ 74,76","R$ 74,76",/ps4-store-br/mutant-year-zero-road-to-eden-deluxe-edition-game-38720/
Attack on Titan 2: Final Battle,"R$ 26,90","R$ 174,93","R$ 174,93",/ps4-store-br/attack-on-titan-2-final-battle-game-38731/
Rainbow Skies + Rainbow Moon Mega RPG Bundle,"R$ 26,90","R$ 53,72","R$ 53,72",/ps4-store-br/rainbow-skies-rainbow-moon-mega-rpg-bundle-game-38735/
Bear With Me: The Complete Collection,"R$ 26,90","R$ 23,97","R$ 23,97",/ps4-store-br/bear-with-me-the-complete-collection-game-38739/
Bear With Me: The Lost Robots,"R$ 26,90","R$ 8,07","R$ 8,07",/ps4-store-br/bear-with-me-the-lost-robots-game-38740/
